code,title,section,reports_to_code,tier,description
IC,Incident Commander,Command,,core,"Holds overall authority for the incident. Activates the Hospital Emergency Operations Plan, sets incident objectives, and is the final decision authority until relieved or the incident is closed."
PIO,Public Information Officer,Command,IC,core,"Single point of contact for media and public information. Develops and releases approved public statements and coordinates with external public information officers (fire, law enforcement, public health)."
SO,Safety Officer,Command,IC,core,"Monitors incident operations for hazards to patients, staff, and visitors. Has the authority to stop or modify any unsafe operation."
LNO,Liaison Officer,Command,IC,core,"Primary point of contact for external responding agencies, other healthcare facilities, and government/public health officials."
MTS,Medical/Technical Specialist,Command,IC,expansion,"Advises the Incident Commander on a specific technical area (e.g., infectious disease, hazmat, pediatric care, legal affairs, risk management, medical ethics). Specialty is noted per assignment."
OSC,Operations Section Chief,Operations,IC,core,Directs execution of all tactical patient care and incident response activities defined in the Incident Action Plan.
SM,Staging Manager,Operations,OSC,expansion,"Manages the staging area for arriving personnel, vehicles, equipment, and supplies before they are assigned to the incident."
PSTL,Personnel Staging Team Leader,Operations,SM,expansion,"Checks in and stages arriving personnel (mutual aid staff, volunteers, credentialed providers) until assigned."
VSTL,Vehicle Staging Team Leader,Operations,SM,expansion,"Stages arriving vehicles (ambulances, transport vehicles) in a designated area pending assignment."
ESTL,Equipment/Supply Staging Team Leader,Operations,SM,expansion,Stages incoming equipment and supplies until distributed to the branch that requested them.
MSTL,Medication Staging Team Leader,Operations,SM,expansion,Stages incoming pharmaceuticals and medical countermeasures pending distribution to treatment areas.
MCB,Medical Care Branch Director,Operations,OSC,core,"Directs all patient care operations across inpatient, outpatient, casualty care, behavioral health, and clinical support functions."
IPU,Inpatient Unit Leader,Operations,MCB,expansion,"Coordinates continuity of care for currently admitted patients, including evacuation or shelter-in-place decisions for inpatient units."
OPU,Outpatient Unit Leader,Operations,MCB,expansion,"Coordinates care and flow for ambulatory/outpatient patients during the incident, including clinic and same-day service areas."
CCU,Casualty Care Unit Leader,Operations,MCB,expansion,"Directs triage, treatment, and tracking of incoming casualties in a multi-casualty or mass-casualty incident."
BHU,Behavioral Health Unit Leader,Operations,MCB,expansion,"Coordinates behavioral health and crisis counseling support for patients, families, and staff during and after the incident."
CSU,Clinical Support Unit Leader,Operations,MCB,expansion,"Coordinates clinical support services (lab, pharmacy, imaging, respiratory therapy) needed to sustain patient care operations."
PRU,Patient Registration Unit Leader,Operations,MCB,expansion,Maintains registration and tracking records for all patients presenting to or processed by the facility during the incident.
INFB,Infrastructure Branch Director,Operations,OSC,core,"Directs management of the facility's physical systems and utilities during the incident: power, water, HVAC, structural integrity, and medical gases."
PLU,Power/Lighting Unit Leader,Operations,INFB,expansion,"Manages facility power and lighting systems, including backup generator operation, during the incident."
WSU,Water/Sewer Unit Leader,Operations,INFB,expansion,Manages facility water supply and sewer/wastewater systems during the incident.
HVACU,HVAC Unit Leader,Operations,INFB,expansion,"Manages heating, ventilation, and air conditioning systems, including isolation/negative-pressure controls during the incident."
BGU,Building/Grounds Unit Leader,Operations,INFB,expansion,"Assesses and manages structural and grounds damage, and coordinates repairs during the incident."
MGU,Medical Gases Unit Leader,Operations,INFB,expansion,"Manages medical gas systems (oxygen, medical air, vacuum) during the incident."
